ID,Dataset Name,Friendly Name,Data Type,Plottable,Has Schema,Category,Description
2967,corva#completion.ccl-settings,completion.ccl-settings,time,No,Yes,Completions / Frac,
3011,corva#completion.ccl-settings-test,completion.ccl-settings-test,time,No,No,Completions / Frac,
2968,corva#completion.ccl-summary,completion.ccl-summary,reference,No,Yes,Completions / Frac,
3171,corva#completion.custom_metrics,completion.custom_metrics,time,No,Yes,Completions / Frac,completion metrics tailored to client specifications
120,corva#completion.data.actual-stages,completion.data.actual-stages,time,No,No,Completions / Frac,"Contains post-job report information received from the frac service provider. It contains fluids, chemical, proppant, and other data in some cases."
1781,corva#completion.data.actual-steps,completion.data.actual-steps,time,No,No,Completions / Frac,
156,corva#completion.data.afe,completion.data.afe,time,No,No,Completions / Frac,"Summary of days, depth and cost of a well"
113,corva#completion.data.costs,completion.data.costs,time,No,No,Completions / Frac,Contains daily cost information received in morning reports.
114,corva#completion.data.crews,completion.data.crews,time,No,No,Completions / Frac,Contains information on which service companies are providing frac/wireline/chemical services.
436,corva#completion.data.fiber-optic.heatmap,completion.data.fiber-optic.heatmap,time,No,No,Completions / Frac,
435,corva#completion.data.fiber-optic.table,completion.data.fiber-optic.table,time,No,No,Completions / Frac,
123,corva#completion.data.files,completion.data.files,time,No,Yes,Completions / Frac,These are file names and unique identifiers that are uploaded to Corva Wellhub.
118,corva#completion.data.job-settings,completion.data.job-settings,time,No,Yes,Completions / Frac,Prejob settings input into Wellhub Job Settings section.
3044,corva#completion.data.master-frac,completion.data.master-frac,time,No,No,Completions / Frac,PJR data for master frac
117,corva#completion.data.npt-events,completion.data.npt-events,time,No,No,Completions / Frac,Contains information surrounding NPT for each individual well received from morning reports.
119,corva#completion.data.operation-summaries,completion.data.operation-summaries,time,No,No,Completions / Frac,Contains summary information from 24 hour morning reports.
593,corva#completion.data.plugid,completion.data.plugid,time,No,No,Completions / Frac,Plug identification fields
122,corva#completion.data.plugs,completion.data.plugs,time,No,No,Completions / Frac,Contains frac plug data for drill-outs and more specific plug information than what is found in completion.data.stages.
583,corva#completion.data.plugs.actual,completion.data.plugs.actual,time,No,No,Completions / Frac,
1116,corva#completion.data.proposed-stages,completion.data.proposed-stages,time,No,No,Completions / Frac,
1115,corva#completion.data.proposed-stages.metadata,completion.data.proposed-stages.metadata,time,No,No,Completions / Frac,
1011,corva#completion.data.purged_stages,completion.data.purged_stages,reference,No,No,Completions / Frac,Collection for tracking purge frac stages
124,corva#completion.data.stages,completion.data.stages,time,No,No,Completions / Frac,Contains design information. This is typically uploaded before the job has begun once designs are received.
137,corva#completion.data.time-log,completion.data.time-log,time,No,Yes,Completions / Frac,"Contains data for time analysis app. Has a near-uninterrupted continuous summary of operations for each well (frac and wireline swaps, frac stages, wireline runs, waiting on offsets), including asset id's for offset wells. This is somewhat time-based as it is updated every 1 minute while a frac or w"
1231,corva#completion.data.time-log.wv,completion.data.time-log.wv,time,No,No,Completions / Frac,
154,corva#completion.data.well-goals,completion.data.well-goals,time,No,No,Completions / Frac,
1040,corva#completion.data_quality.report,completion.data_quality.report,time,No,No,Completions / Frac,
718,corva#completion.detailed-costs,completion.detailed-costs,time,No,No,Completions / Frac,BE collection for completions cost detailed with line items.
2990,corva#completion.dynamic-frac-stats,completion.dynamic-frac-stats,time,No,No,Completions / Frac,
2988,corva#completion.evo_metrics_stages,completion.evo_metrics_stages,time,No,No,Completions / Frac,
1583,corva#completion.fdi,completion.fdi,time,No,No,Completions / Frac,
809,corva#completion.fracvision-notifications,completion.fracvision-notifications,time,No,No,Completions / Frac,
570,corva#completion.fracvision-recommendations,completion.fracvision-recommendations,time,No,No,Completions / Frac,Staging recommendations to display in Frac Vision app
571,corva#completion.fracvision-settings,completion.fracvision-settings,time,No,No,Completions / Frac,
1595,corva#completion.insights,completion.insights,time,No,No,Completions / Frac,Completion insights app dataset
1052,corva#completion.manual.phases,completion.manual.phases,time,No,No,Completions / Frac,
1051,corva#completion.manual.points,completion.manual.points,time,No,No,Completions / Frac,
138,corva#completion.metrics,completion.metrics,time,No,No,Completions / Frac,Contains aggregated data used to generate pad metrics app.
1885,corva#completion.mis.mapping,completion.mis.mapping,reference,No,No,Completions / Frac,Dataset for storing WITSML Schema mappings
3165,corva#completion.note,completion.note,time,No,No,Completions / Frac,collect user notes for frac operations
864,corva#completion.offset.abra,completion.offset.abra,time,No,Yes,Completions / Frac,Completion offset COP data from Abra
910,corva#completion.offset.abra.metadata,completion.offset.abra.metadata,time,No,No,Completions / Frac,metadata for abra offset
1910,corva#completion.pad_sequence,completion.pad_sequence,reference,No,No,Completions / Frac,
112,corva#completion.predictions,completion.predictions,time,No,Yes,Completions / Frac,"Breakdown, ISIP pressure predictions by elapsed time (pressure, flow rate, cumulative volumes)"
1872,corva#completion.pumps,completion.pumps,time,No,No,Completions / Frac,Coldbore pump data
2980,corva#completion.pumps.pad,completion.pumps.pad,reference,No,No,Completions / Frac,Coldbore pump data collected per pad
1909,corva#completion.pumps.summary-1m,completion.pumps.summary-1m,time,No,No,Completions / Frac,Coldbore pump metrics 1m summary
1904,corva#completion.pumps_metrics,completion.pumps_metrics,time,No,No,Completions / Frac,
1890,corva#completion.pumps_stages,completion.pumps_stages,time,No,No,Completions / Frac,
3426,corva#completion.redzone-status,completion.redzone-status,time,No,No,Completions / Frac,Status for fleet records to assist with staging and notifications
3229,corva#completion.schedule-adherence,completion.schedule-adherence,time,No,No,Completions / Frac,metrics for measuring the adherence to the pumping schedule
3379,corva#completion.stage-running-average-1min,completion.stage-running-average-1min,time,No,No,Completions / Frac,save averages from guided insights
164,corva#completion.stage-times,completion.stage-times,time,No,Yes,Completions / Frac,Frac stage start and end times and stage duration.
3296,corva#completion.time_at_rates_metrics,completion.time_at_rates_metrics,time,No,No,Completions / Frac,
720,corva#completion.tracking,completion.tracking,time,No,No,Completions / Frac,
756,corva#completion.tracking.events,completion.tracking.events,time,No,No,Completions / Frac,
1868,corva#completion.trouble-stage,completion.trouble-stage,time,No,No,Completions / Frac,saves detected troubles for stages
1364,corva#completion.valve,completion.valve,time,No,No,Completions / Frac,
6,corva#completion.well-track,completion.well-track,time,No,No,Completions / Frac,
108,corva#completion.wits,completion.wits,time,No,Yes,WITS (Other Phases),Historical and streaming 1 second wits data after passing through data quality checks and true vertical depth functions.
107,corva#completion.wits.raw,completion.wits.raw,time,No,Yes,WITS (Other Phases),Historical and streaming 1 second wits data before passing through data quality checks and true vertical depth functions.
146,corva#completion.wits.summary-10s,completion.wits.summary-10s,time,No,Yes,WITS (Other Phases),Historical and streaming 1 second wits data summariezed for every 10 seconds after passing through data quality checks and true vertical depth functions.
145,corva#completion.wits.summary-1m,completion.wits.summary-1m,time,No,Yes,WITS (Other Phases),Historical and streaming 1 second wits data summariezed for every 1minute after passing through data quality checks and true vertical depth functions.
111,corva#completion.wits.summary-30m,completion.wits.summary-30m,time,No,No,WITS (Other Phases),
682,corva#completions-handover-contact-notes,completions-handover-contact-notes,time,No,No,Completions / Frac,Contact details left by the analysts in the mission-control-completions application.
659,corva#completions-handover-notes,completions-handover-notes,time,No,No,Completions / Frac,Notes and comments left by the analysts in the mission-control-completions application.
691,corva#completions-handover-review-info,completions-handover-review-info,time,No,No,Completions / Frac,"Collection stores who and when reviewed the fleet, also who marked fleet as important in the mission-control-completions application"
3428,corva#completions.autostaging-stats,completions.autostaging-stats,reference,No,No,Completions / Frac,
696,corva#completions.mgb.fuelcell.calc,completions.mgb.fuelcell.calc,time,No,No,Completions / Frac,
694,corva#completions.mgb.fuelcell.calc.summary,completions.mgb.fuelcell.calc.summary,time,No,No,Completions / Frac,
695,corva#completions.mgb.fuelcell.enginedata,completions.mgb.fuelcell.enginedata,reference,No,No,Completions / Frac,
793,corva#completions.mgb.fuelcell.fuel-costs,completions.mgb.fuelcell.fuel-costs,reference,No,No,Completions / Frac,
692,corva#completions.mgb.fuelcell.raw,completions.mgb.fuelcell.raw,time,No,No,Completions / Frac,
1672,corva#composite-curves,composite-curves,time,No,No,Other,
3124,corva#composite-roadmaps,composite-roadmaps,time,No,No,Other,Storing composite roadmaps from Predictive Drilling
150,corva#config-response,config-response,time,No,Yes,Other,
44,corva#corva.column-mapper.settings,corva.column-mapper.settings,time,No,No,Other,
1028,corva#cost_commander_configuration,cost_commander_configuration,time,No,No,Other,place to store config data for cost commander app
2940,corva#custom_alerts_test_log,custom_alerts_test_log,time,No,No,Alerts,
3303,corva#darkfibr,darkfibr,reference,No,No,Other,Store for darkfibr data
3275,corva#dashcheck,dashcheck,reference,No,No,Other,For storing corva dashboard performance
22,corva#data.actual_survey,data.actual_survey,time,No,Yes,Well Data (data.*),"Survey data: MD, inclination, azimuth, tvd, northing, easting, dls, and vertical section"
3337,corva#data.actual_survey.edm,data.actual_survey.edm,time,No,No,Well Data (data.*),Actual survey extracted from EDM file(in anti collision app).
3087,corva#data.actual_survey.email,data.actual_survey.email,time,No,No,Well Data (data.*),
2972,corva#data.actual_survey.manual,data.actual_survey.manual,time,No,No,Well Data (data.*),
2971,corva#data.actual_survey.source,data.actual_survey.source,time,No,No,Well Data (data.*),
