equiv_bha_key,num_runs,curve_type,formation_name,formation_segment,formation_bin_key,p10,p50,p90,contributing_runs,confident
6B-16mm | 7/8-lo,36,rotary,San Miguel,30,San Miguel|30,261.4,360.0,422.5,12,True
6B-16mm | 7/8-lo,36,rotary,San Miguel,40,San Miguel|40,248.7,360.0,445.0,12,True
6B-16mm | 7/8-lo,36,rotary,San Miguel,50,San Miguel|50,226.5,360.0,445.0,12,True
6B-16mm | 7/8-lo,36,rotary,San Miguel,60,San Miguel|60,225.0,360.0,400.0,12,True
6B-16mm | 7/8-lo,36,rotary,San Miguel,70,San Miguel|70,166.2,360.0,400.0,12,True
6B-16mm | 7/8-lo,36,rotary,San Miguel,80,San Miguel|80,166.2,330.0,372.0,10,True
6B-16mm | 7/8-lo,36,rotary,San Miguel,90,San Miguel|90,209.1,318.4,362.0,8,True
6B-16mm | 7/8-lo,36,rotary,Austin Chalk,0,Austin Chalk|0,209.1,318.4,360.0,4,True
6B-16mm | 7/8-lo,36,rotary,Austin Chalk,10,Austin Chalk|10,187.8,282.9,360.0,4,True
6B-16mm | 7/8-lo,36,rotary,Austin Chalk,20,Austin Chalk|20,182.8,200.7,243.5,4,True
6B-16mm | 7/8-lo,36,rotary,Austin Chalk,30,Austin Chalk|30,168.5,184.8,236.8,4,True
6B-16mm | 7/8-lo,36,rotary,Austin Chalk,40,Austin Chalk|40,168.5,184.8,236.8,4,True
6B-16mm | 7/8-lo,36,rotary,Austin Chalk,50,Austin Chalk|50,180.0,190.0,237.0,4,True
6B-16mm | 7/8-lo,36,rotary,Austin Chalk,60,Austin Chalk|60,205.0,225.0,253.8,3,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,0,Anacacho|0,222.8,400.0,450.0,5,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,10,Anacacho|10,222.8,450.0,450.0,5,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,20,Anacacho|20,222.8,450.0,450.0,5,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,30,Anacacho|30,206.4,450.0,450.0,5,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,40,Anacacho|40,200.8,425.0,450.0,5,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,50,Anacacho|50,192.8,400.0,450.0,5,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,60,Anacacho|60,192.8,425.0,450.0,5,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,70,Anacacho|70,246.0,425.0,450.0,4,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,80,Anacacho|80,252.2,425.0,450.0,4,True
6B-16mm | 7/8-lo,36,rotary,Anacacho,90,Anacacho|90,258.2,400.0,450.0,5,True
6B-16mm | 7/8-lo,36,rotary,Eagle Ford,0,Eagle Ford|0,305.5,400.0,440.0,3,True
6B-16mm | 7/8-lo,36,rotary,Eagle Ford,10,Eagle Ford|10,305.5,327.3,385.5,3,True
6B-16mm | 7/8-lo,36,rotary,Eagle Ford,20,Eagle Ford|20,257.1,257.1,272.9,3,True
6B-16mm | 7/8-lo,36,rotary,Eagle Ford,30,Eagle Ford|30,231.4,257.1,272.9,3,True
6B-16mm | 7/8-lo,36,rotary,Eagle Ford,40,Eagle Ford|40,231.4,257.1,291.4,3,True
6B-16mm | 7/8-lo,36,rotary,Eagle Ford,50,Eagle Ford|50,305.5,327.3,353.5,3,True
6B-16mm | 7/8-lo,36,rotary,Eagle Ford,90,Eagle Ford|90,305.5,327.3,353.5,1,False
6B-16mm | 7/8-lo,36,rotary,Buda,0,Buda|0,169.1,184.8,274.8,8,True
6B-16mm | 7/8-lo,36,rotary,Buda,10,Buda|10,168.2,184.8,256.3,6,True
6B-16mm | 7/8-lo,36,rotary,Buda,20,Buda|20,167.5,184.8,274.8,6,True
6B-16mm | 7/8-lo,36,rotary,Buda,30,Buda|30,168.2,202.5,277.5,4,True
6B-16mm | 7/8-lo,36,rotary,Buda,40,Buda|40,184.3,327.3,353.5,3,True
6B-16mm | 7/8-lo,36,rotary,Buda,90,Buda|90,200.7,327.3,356.8,12,True
6B-16mm | 7/8-lo,36,slide,Wilcox,0,Wilcox|0,103.2,124.7,206.6,5,True
6B-16mm | 7/8-lo,36,slide,Wilcox,10,Wilcox|10,102.5,116.1,224.9,5,True
6B-16mm | 7/8-lo,36,slide,Wilcox,20,Wilcox|20,110.9,116.1,224.9,5,True
6B-16mm | 7/8-lo,36,slide,Wilcox,30,Wilcox|30,116.1,116.1,232.2,5,True
6B-16mm | 7/8-lo,36,slide,Wilcox,40,Wilcox|40,116.1,116.1,360.0,5,True
6B-16mm | 7/8-lo,36,slide,Wilcox,50,Wilcox|50,80.0,85.8,360.0,5,True
6B-16mm | 7/8-lo,36,slide,Wilcox,60,Wilcox|60,73.9,78.3,360.0,4,True
6B-16mm | 7/8-lo,36,slide,Wilcox,70,Wilcox|70,73.9,78.3,321.0,3,True
6B-16mm | 7/8-lo,36,slide,Wilcox,80,Wilcox|80,65.5,100.0,293.7,3,True
6B-16mm | 7/8-lo,36,slide,Wilcox,90,Wilcox|90,100.0,115.0,198.9,7,True
6B-16mm | 7/8-lo,36,slide,Midway,0,Midway|0,190.6,194.8,200.0,2,False
6B-16mm | 7/8-lo,36,slide,Midway,10,Midway|10,190.6,194.8,198.9,1,False
6B-16mm | 7/8-lo,36,slide,Midway,20,Midway|20,101.6,129.2,156.7,1,False
6B-16mm | 7/8-lo,36,slide,Midway,30,Midway|30,101.6,129.2,156.7,2,False
6B-16mm | 7/8-lo,36,slide,Midway,40,Midway|40,101.6,129.2,159.8,2,False
6B-16mm | 7/8-lo,36,slide,Midway,50,Midway|50,71.3,153.7,292.2,4,True
6B-16mm | 7/8-lo,36,slide,Midway,60,Midway|60,71.3,105.9,258.5,6,True
6B-16mm | 7/8-lo,36,slide,Midway,70,Midway|70,54.5,105.9,292.2,5,True
6B-16mm | 7/8-lo,36,slide,Midway,80,Midway|80,83.3,105.9,258.5,6,True
6B-16mm | 7/8-lo,36,slide,Midway,90,Midway|90,74.6,105.9,180.0,2,False
6B-16mm | 7/8-lo,36,slide,Escondido,0,Escondido|0,74.6,105.9,168.3,13,True
6B-16mm | 7/8-lo,36,slide,Escondido,10,Escondido|10,64.1,105.9,180.0,15,True
6B-16mm | 7/8-lo,36,slide,Escondido,20,Escondido|20,64.1,124.1,192.7,17,True
6B-16mm | 7/8-lo,36,slide,Escondido,30,Escondido|30,64.1,124.1,192.7,16,True
6B-16mm | 7/8-lo,36,slide,Escondido,40,Escondido|40,60.0,121.4,205.8,15,True
6B-16mm | 7/8-lo,36,slide,Escondido,50,Escondido|50,60.0,92.3,200.0,16,True
6B-16mm | 7/8-lo,36,slide,Escondido,60,Escondido|60,55.6,101.5,202.5,14,True
6B-16mm | 7/8-lo,36,slide,Escondido,70,Escondido|70,58.3,101.5,202.5,16,True
6B-16mm | 7/8-lo,36,slide,Escondido,80,Escondido|80,58.3,101.5,233.4,16,True
6B-16mm | 7/8-lo,36,slide,Escondido,90,Escondido|90,62.1,107.5,233.4,19,True
6B-16mm | 7/8-lo,36,slide,Olmos,0,Olmos|0,82.8,94.7,171.4,1,False
6B-16mm | 7/8-lo,36,slide,Olmos,10,Olmos|10,110.1,150.3,171.4,1,False
6B-16mm | 7/8-lo,36,slide,Olmos,20,Olmos|20,110.1,141.2,141.2,2,False
6B-16mm | 7/8-lo,36,slide,Olmos,30,Olmos|30,110.1,141.2,141.2,1,False
6B-16mm | 7/8-lo,36,slide,Olmos,40,Olmos|40,85.7,85.7,85.7,1,False
6B-16mm | 7/8-lo,36,slide,Olmos,50,Olmos|50,85.7,85.7,85.7,2,False
