asset_id,well_name,company,basin,target_formation,rig,distance_miles,hole_depth_ft,section,hole_diameter,mud_type,mud_density,bit_size,bit_type,state,spud_date,lat,lon,string_design,well_state
88889236,San Ambrosia F 1219H,SM Energy,Eagle Ford,Lower Eagle Ford,Ensign T103,21.1,17263.12,Production Lateral,8.75,Oil-base,12.7,N/A,pdc,In Slips,N/A,28.134512,-99.925762,2,drilled_not_completed
52026438,BRISCOE C (SA22) STATE 683H,SM Energy,Eagle Ford,Eagle Ford,SM Energy Completions,21.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.11962,-99.939396,,completions
72281056,SAN AMBROSIA F (SA35) 2159H,SM Energy,Eagle Ford,Eagle Ford,SM Energy Completions,21.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.148768,-99.935532,,completions
69094121,SAN AMBROSIA F (SA31) 2128H,SM Energy,Eagle Ford,Eagle Ford,SM Energy Completions,21.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.148768,-99.935532,,completions
26934629,SAN AMBROSIA F (SA32) 2139H,SM Energy,Eagle Ford,Eagle Ford,SM Energy Completions,21.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.148768,-99.935532,,completions
52701251,SAN AMBROSIA F (SA34) 2148H,SM Energy,Eagle Ford,Eagle Ford,SM Energy Completions,21.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.148768,-99.935532,,completions
38338664,SAN AMBROSIA F (SA33) 942H,SM Energy,Eagle Ford,Eagle Ford,SM Energy Completions,21.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.148768,-99.935532,,completions
60228605, San Ambrosia F (SA40) State 893H,SM Energy,Eagle Ford,Upper Eagle Ford,Ensign T106,23.7,21034.09,Production Lateral,8.75,Oil-base,12.9,N/A,pdc,In Slips,N/A,28.185024,-99.951397,2,drilled_not_completed
35223034,San Ambrosia F (SA39) State 853H,SM Energy,Eagle Ford,Lower Eagle Ford,Ensign T106,23.7,22459.07,Production Lateral,8.75,Oil-base,12.1,N/A,pdc,In Slips,N/A,28.185024,-99.951117,2,drilled_not_completed
58107142,Britanco 79M ,SM Energy,Eagle Ford,Lower Eagle Ford,Ensign T103,28.8,6801,Production Vertical,8.75,Oil-base,12.5,N/A,pdc,In Slips,2025-10-28,28.128277,-100.056637,1,drilled_not_completed
82391045,Briscoe C 69M,SM Energy,Eagle Ford,Upper Eagle Ford,Ensign T103,30.5,6189.18,Production,8.75,Oil-base,12.5,N/A,pdc,In Slips,N/A,28.157739,-100.078945,1,drilled_not_completed
