asset_id,well_name,operator,distance_miles,bha_number,start_depth,end_depth,run_length,set_date,num_components,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
72458562,Spohn Ranch 40H,Escondido Resources,5.7,3,9955.29,21878.16016,11922.9,2022-06-14,9,8.75,pdc,"8.75"" Schlumberger Z613s",Schlumberger,Z613s,JV4406,2.291767297101148,"[{'size': 16, 'count': 6}, {'size': 22, 'count': 3}]",N/A,N/A,"6.875"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,6.875,34.68,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613s->B6,13mm",7/8,lo
11924169,Galvan Ranch B924H,SM Energy,9.6,6,8698,13792.58,5094.6,2024-06-16,11,8.75,pdc,"8.75"" Halliburton  HD64s",Halliburton, HD64s,1282739,1.767145867644259,"[{'size': 16, 'count': 9}]",N/A,N/A,"7"" KLX  K-Series 5/6 9.5",KLX, K-Series 5/6 9.5,7,38.7,0.344,N/A,N/A,9.5,N/A,6,13,high,"HAL:HD64s->B6,C4(frac)",5/6,mid
11924169,Galvan Ranch B924H,SM Energy,9.6,7,13793,17227.35,3434.3,2024-06-19,11,8.75,pdc,"8.75"" NOV TK63-G4",NOV,TK63-G4 ,A299662,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"7"" KLX 5/6 8.4",KLX,5/6 8.4,7,35.72,0.35,N/A,N/A,8.4,N/A,6,13,high,"NOV-TK:TK63-G4->B6,C3",5/6,mid
12095535,Galvan Ranch B922H,SM Energy,9.6,3,7905.1,16941.04,9035.9,2024-06-26,11,8.75,pdc,"8.75"" NOV TKC63 G5",NOV,TKC63 G5,A306958,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"7"" KLX 5/6 9.5 Stg",KLX,5/6 9.5 Stg,7,38.7,0.344,N/A,N/A,9.5,N/A,6,13,high,"NOV-TK:TKC63 G5->B6,C3",5/6,mid
89084185,La Muela Quick PSA 2H,Pursuit Oil & Gas,10.4,5,10800,22004,11204,2019-10-29,9,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5304220,1.0354370318228079,"[{'size': 15, 'count': 6}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,29.33,0.42,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,4,18893,21810.1,2917.1,2019-11-10,9,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,48413,2.9728547669223726,"[{'size': 18, 'count': 3}, {'size': 22, 'count': 6}]",N/A,N/A,"7"" ProDirectional Pro Power 5/6 9.4 stg",ProDirectional,Pro Power 5/6 9.4 stg,7,34.65,0.4,N/A,N/A,9.4,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",5/6,mid
59701710,La Muela Quick PSA 3H,Pursuit Oil & Gas,10.4,3,10279,18893.7,8614.7,2019-11-07,9,8.75,pdc,"8.75"" Baker Hughes DD406S",Baker Hughes,DD406S,5305430,1.0354370318228079,"[{'size': 15, 'count': 6}]",N/A,N/A,"7"" ProDirectional Pro Power 5/6 9.4 stg",ProDirectional,Pro Power 5/6 9.4 stg,7,29.25,0.4,N/A,N/A,9.4,N/A,6,13,high,Baker:DD406S->C40B6(frac),5/6,mid
26355794,Quick Ranch B Pad 3H,Pursuit Oil & Gas,10.5,3,10424.28,22750,12325.7,2021-12-11,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5324295,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.57,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
49328895,Quick Ranch B Pad 1H,Pursuit Oil & Gas,10.5,3,10437,23535.81,13098.8,2022-01-13,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5326157,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.57,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
81210538,Quick Ranch B Pad 2H,Pursuit Oil & Gas,10.5,3,10235,22721,12486,2021-12-24,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5326157,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional PPM 5/6 8.2 stg",ProDirectional,PPM 5/6 8.2 stg,7,31.57,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
28415581,Cerrito Julius 62H,Escondido Resources,11.2,2,4852,16033.48047,11181.5,2022-11-07,9,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV6274,1.767145867644259,"[{'size': 16, 'count': 9}]",N/A,N/A,"6.938"" BHA 5/6 9.4",BHA,5/6 9.4,6.938,34.74,0.4,N/A,N/A,9.4,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",5/6,mid
28415581,Cerrito Julius 62H,Escondido Resources,11.2,3,16033,19929.13477,3896.1,2022-11-13,7,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV4338,2.291767297101148,"[{'size': 22, 'count': 3}, {'size': 16, 'count': 6}]",N/A,N/A,"7"" MS Directional XL Performance 7/8 6.9",MS Directional,XL Performance 7/8 6.9,7,34.75,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
29535966,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,3,10235,19550,9315,2022-09-12,11,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,5329053,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,7,31.3,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),5/6,mid
29535966,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,3.1,19550,19550,0,2022-09-17,11,8.75,pdc,Placeholder BHA,N/A,N/A,N/A,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,Placeholder BHA,N/A,N/A,7,31.3,0.426,N/A,N/A,8.2,N/A,,,,skip,,
29535966,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,4,19550,21514.96,1965.0,2022-09-17,11,8.75,pdc,"8.75"" Baker Hughes D506TWSX",Baker Hughes,D506TWSX,N/A,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" BHA 5/6 8.2",BHA,5/6 8.2,7,31.54,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),5/6,mid
30010489,Santa Cruz-La Muela G Unit,Pursuit Oil & Gas,11.3,3,10329,21289.53,10960.5,2022-09-29,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5331913,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.56,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
52143617,Santa Cruz-SSS H Unit A 1H,Pursuit Oil & Gas,11.3,3,10464,22396.03,11932.0,2023-09-25,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5332238,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.4 stg",ProDirectional,5/6 8.4 stg,7,34.69,0.35,N/A,N/A,8.4,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
40920782,Santa Cruz-SSS H Unit B 2H,Pursuit Oil & Gas,11.3,4,10342,19344.03,9002.0,2023-09-16,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5341878,2.24,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,32.28,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
40920782,Santa Cruz-SSS H Unit B 2H,Pursuit Oil & Gas,11.3,5,19344,20284.06,940.1,2023-09-20,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5341878,2.24,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,31.35,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
