asset_id,well_name,operator,distance_miles,bha_number,start_depth,end_depth,run_length,set_date,num_components,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
76839478,La Muela-Santa Cruz E Unit,Pursuit Oil & Gas,11.7,3,9896,17210.99,7315.0,2022-10-13,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5329053,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.688"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.688,31.92,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
76839478,La Muela-Santa Cruz E Unit,Pursuit Oil & Gas,11.7,4,17214,22894.98,5681.0,2022-10-16,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5331909,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.44,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
74880670,Springer-SSS O Unit 1H,Pursuit Oil & Gas,12.5,4,10330,19864.96,9535.0,2022-08-29,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5327864,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" BHA 5/6 8.2",BHA,5/6 8.2,7,31.9,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
13700906,Springer O 2H,Pursuit Oil & Gas,12.5,4,10327,19242.98,8916.0,2022-08-22,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5329367,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,7,31.27,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
32729228,Springer A 8H,Escondido Resources,12.9,4,9959,16063.16992,6104.2,2022-03-10,9,8.75,pdc,"8.75"" Schlumberger  Z613S ",Schlumberger, Z613S ,JV8442,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.938"" MS Directional XL Performance 7/8 6.9",MS Directional,XL Performance 7/8 6.9,6.938,34.61,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
32729228,Springer A 8H,Escondido Resources,12.9,5,16063.17,21305,5241.8,2022-03-14,9,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger, Z613S,JV5491,2.291767297101148,"[{'size': 22, 'count': 3}, {'size': 16, 'count': 6}]",N/A,N/A,"6.938"" MS Directional XL Performance 7/8 6.9",MS Directional,XL Performance 7/8 6.9,6.938,34.64,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
28494042,Springer Ranch #11H,Escondido Resources,12.9,2,5074,11414.52734,6340.5,2022-08-12,8,8.75,pdc,8.75'' Schlumberger 1190975,Schlumberger,Z613S,1190975,2.307107104980004,"[{'size': 24, 'count': 3}, {'size': 16, 'count': 5}]",N/A,N/A,6.938'' MS Directional Performance,MS Directional,Performance,6.938,34.55,0.4,N/A,N/A,9.4,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",?,mid
28494042,Springer Ranch #11H,Escondido Resources,12.9,3,11414,20825.10156,9411.1,2022-08-16,9,8.75,pdc,"8.75"" Schlumberger  Z613S",Schlumberger,Z613S,JV5491,2.291767297101148,"[{'size': 22, 'count': 3}, {'size': 16, 'count': 6}]",N/A,N/A,"6.938"" MS Directional Performance 7/8 6.9",MS Directional,Performance 7/8 6.9,6.938,34.59,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
67815500,Springer Ranch #12H,Escondido Resources,12.9,2,5090.1,16044.18262,10954.1,2022-08-24,9,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV6127,1.767145867644259,"[{'size': 16, 'count': 9}]",N/A,N/A,"6.938"" MS Directional 5/6 9.4",MS Directional,5/6 9.4,6.938,34.76,0.4,N/A,N/A,9.4,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",5/6,mid
67815500,Springer Ranch #12H,Escondido Resources,12.9,3,16044,19509.40234,3465.4,2022-08-28,9,8.75,pdc,"8.75"" Schlumberger Z613s",Schlumberger,Z613s,JV4338,1.767145867644259,"[{'size': 16, 'count': 9}]",N/A,N/A,"6.938"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,6.938,34.57,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613s->B6,13mm",7/8,lo
67815500,Springer Ranch #12H,Escondido Resources,12.9,4,19509,22204,2695,2022-08-31,9,8.75,pdc,"8.75"" Schlumberger Z613s",Schlumberger,Z613s,JV6211,1.81930121443237,"[{'size': 16, 'count': 8}, {'size': 18, 'count': 1}]",N/A,N/A,"6.938"" MS Directional XL Performance 7/8 6.9 stg",MS Directional,XL Performance 7/8 6.9 stg,6.938,34.49,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613s->B6,13mm",7/8,lo
67815500,Springer Ranch #12H,Escondido Resources,12.9,4.1,22204,22204,0,2022-09-06,9,8.75,pdc,Placeholder BHA,N/A,N/A,N/A,1.81930121443237,"[{'size': 16, 'count': 8}, {'size': 18, 'count': 1}]",N/A,N/A,Placeholder BHA,N/A,N/A,6.938,34.49,0.25,N/A,N/A,6.9,N/A,,,,skip,,
55687748,Lemmond D 8H,Escondido Resources,13.0,3,10140,21795.06055,11655.1,2022-12-19,9,8.75,pdc,"8.75"" Schlumberger SDI611",Schlumberger,SDI611,SN1283,2.03405852473636,"[{'size': 20, 'count': 3}, {'size': 22, 'count': 3}]",N/A,N/A,"7.25"" MS Directional 6/7 12.0",MS Directional,6/7 12.0,7.25,36.91,0.35,N/A,N/A,12,N/A,6,11,high,"SLB-SDI:SDI611->B6,11mm",6/7,mid
61578192,Lemmond C 7H,Escondido Resources,13.0,3,10143,22060.16016,11917.2,2022-12-31,9,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,SN2710,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.25"" MS Directional 6/7 12.0",MS Directional,6/7 12.0,7.25,36.91,0.35,N/A,N/A,12,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",6/7,mid
11074595,Lemmond E 9H,Escondido Resources,13.0,2,4997,13515.07715,8518.1,2023-01-13,9,8.75,pdc,"8.75"" Smith Z613S",Schlumberger,Z613S,1448,1.553155547734212,"[{'size': 15, 'count': 9}]",N/A,N/A,"7"" MS Directional 5/6 9.4",MS Directional,5/6 9.4,7,34.74,0.4,N/A,N/A,9.4,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",5/6,mid
11074595,Lemmond E 9H,Escondido Resources,13.0,3,13515.08,21847,8331.9,2023-01-17,9,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV4302,1.923611908008594,"[{'size': 18, 'count': 3}, {'size': 16, 'count': 6}]",N/A,N/A,"7.25"" MS Directional Mpact LE",MS Directional,Mpact LE,7.25,36.9,0.35,N/A,N/A,12,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",?,mid
11074595,Lemmond E 9H,Escondido Resources,13.0,4,21847,N/A,N/A,N/A,9,8.75,pdc,Placeholder BHA,N/A,N/A,N/A,1.923611908008594,"[{'size': 18, 'count': 3}, {'size': 16, 'count': 6}]",N/A,N/A,Placeholder BHA,N/A,N/A,7.25,36.9,0.35,N/A,N/A,12,N/A,,,,skip,,
53251823,Campos La Muela State Unit,Pursuit Oil & Gas,14.9,3,10805.5,19535.4,8729.9,2021-09-12,11,8.75,pdc,"8.75"" Baker Hughes DD406TS",Baker Hughes,DD406TS,5321074,2.2365439887372647,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2 Stg ",ProDirectional,5/6 8.2 Stg ,7,29.31,0.426,N/A,N/A,8.2,N/A,6,13,high,Baker:DD406TS->C40B6(frac),5/6,mid
