asset_id,well_name,operator,distance_miles,section_type,bha_number,start_depth,end_depth,run_length,section_start_depth,lateral_start_depth,set_date,num_components,is_rss,has_agitator,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
41387083,Galvan Ranch A119H,SM Energy,2.4,intermediate,2,2657,8614.165,5957.2,2657.0,N/A,2026-01-12,11,False,False,12.25,pdc,"12.25"" Ulterra U613S",Ulterra,U613S,80706,0.9,"[{'size': 14, 'count': 6}]",N/A,N/A,"8"" Altitude 7/8 5.9 SuperHawk",Altitude,7/8 5.9 SuperHawk ,8,36.23,0.15,N/A,N/A,5.9,N/A,6,13,high,"Ulterra-U:U613S->B6,13mm",7/8,lo
66548917,Spohn Ranch 35H,Escondido Resources,5.0,intermediate,1,115,1605.75488,1490.8,N/A,N/A,2021-08-17,8,False,False,12.25,pdc,"12.25"" Schlumberger XS616S",Schlumberger,XS616S,JV6115,1.5531555477342116,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.688"" MS Directional 7/8 5.9",MS Directional,7/8 5.9,7.688,36.1,0.16,N/A,N/A,5.9,N/A,6,16,check,"fallback-3dig:XS616S->B6,16mm",7/8,lo
66548917,Spohn Ranch 35H,Escondido Resources,5.0,intermediate,3,4400,9672,5272,N/A,N/A,2021-09-28,8,False,False,8.75,pdc,"8.75"" Schlumberger Z616",Schlumberger,Z616,JV6609,1.5531555477342116,"[{'size': 15, 'count': 9}]",N/A,N/A,"7"" MS Directional XL Performance 7/8 6.9",MS Directional,XL Performance 7/8 6.9,7,34.75,0.25,N/A,N/A,6.9,N/A,6,16,high,"SLB-Z:Z616->B6,16mm",7/8,lo
66548917,Spohn Ranch 35H,Escondido Resources,5.0,intermediate,2,1612,4400.02295,2788.0,N/A,N/A,2021-08-18,8,False,False,12.25,pdc,"12.25"" Schlumberger XS616S",Schlumberger,XS616S,JV6115,1.5531555477342116,"[{'size': 15, 'count': 9}]",N/A,N/A,"7.688"" MS Directional 7/8 5.9",MS Directional,7/8 5.9,7.688,36.1,0.16,N/A,N/A,5.9,N/A,6,16,check,"fallback-3dig:XS616S->B6,16mm",7/8,lo
66548917,Spohn Ranch 35H,Escondido Resources,5.0,intermediate,4,9672,19415,9743,N/A,N/A,2021-09-30,8,False,False,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV5483,2.291767297101148,"[{'size': 16, 'count': 6}, {'size': 22, 'count': 3}]",N/A,N/A,"7"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,7,34.81,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
14243794,Spohn Ranch 43H,Escondido Resources,5.7,intermediate,1,111,4088.00879,3977.0,N/A,N/A,2022-05-04,8,False,False,12.25,pdc,"12.25"" Schlumberger SDSi616",Schlumberger,SDSi616,JP8302,1.035437031822808,"[{'size': 15, 'count': 6}]",N/A,N/A,"8.75"" MS Directional 7/8 7.0 Adj 1.50deg w/ 11 5/8 NBS",MS Directional,7/8 7.0 Adj 1.50deg w/ 11 5/8 NBS,8.75,34.82,0.18,N/A,N/A,7,N/A,6,16,check,"fallback-3dig:SDSi616->B6,16mm",7/8,lo
14243794,Spohn Ranch 43H,Escondido Resources,5.7,intermediate,2,4088,9766.19336,5678.2,N/A,N/A,2022-05-06,9,False,False,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,57052,1.486427383461186,"[{'size': 15, 'count': 6}, {'size': 14, 'count': 3}]",N/A,N/A,"7"" MS Directional XL Performance",MS Directional,XL Performance,7,34.63,0.25,N/A,N/A,6.9,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",?,lo
14243794,Spohn Ranch 43H,Escondido Resources,5.7,intermediate,3,9766,17771.50391,8005.5,N/A,N/A,2022-05-09,9,False,False,8.75,pdc,"8.75"" Schlumberger Z613S",Schlumberger,Z613S,JV6127,2.132233295161041,"[{'size': 18, 'count': 7}, {'size': 16, 'count': 2}]",N/A,N/A,"7"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,7,34.51,0.25,N/A,N/A,6.9,N/A,6,13,high,"SLB-Z:Z613S->B6,13mm",7/8,lo
50782646,Spohn Ranch 42H,Escondido Resources,5.7,intermediate,1,112,4078.45923,3966.5,N/A,N/A,2022-05-02,8,False,False,12.25,pdc,"12.25"" Ulterra U616S",Ulterra,U616S,60375,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"9.625"" MS Directional XL Performance",MS Directional,XL Performance,9.625,34.95,0.18,N/A,N/A,7,N/A,6,16,high,"Ulterra-U:U616S->B6,16mm",?,lo
50782646,Spohn Ranch 42H,Escondido Resources,5.7,intermediate,2,4078,8535.62793,4457.6,N/A,N/A,2022-05-15,9,False,False,8.75,pdc,"8.75"" Ulterra SPL616",Ulterra,SPL616,57052,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"7"" MS Directional 7/8 6.9",MS Directional,7/8 6.9,7,34.81,0.25,N/A,N/A,6.9,N/A,6,16,high,"Ulterra:SPL616->B6,16mm",7/8,lo
