asset_id,well_name,bha_number,equiv_bha_key,has_agitator,curve_type,bin_start_ft,bin_axis,median_rop,foot_count
88700700,Galvan Ranch A 341H,3,6B-13mm | 6/7-mid,False,slide,3750,distance_from_lateral_start,40.5,10
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,0,distance_from_run_start,144.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,100,distance_from_run_start,200.0,69
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,200,distance_from_run_start,276.9,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,300,distance_from_run_start,276.9,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,400,distance_from_run_start,257.1,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,500,distance_from_run_start,276.9,72
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,600,distance_from_run_start,276.9,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,700,distance_from_run_start,313.6,88
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,800,distance_from_run_start,300.0,69
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,900,distance_from_run_start,276.9,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1000,distance_from_run_start,300.0,76
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1100,distance_from_run_start,276.9,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1200,distance_from_run_start,257.1,99
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1300,distance_from_run_start,257.1,99
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1400,distance_from_run_start,257.1,77
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1500,distance_from_run_start,276.9,93
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1600,distance_from_run_start,276.9,99
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1700,distance_from_run_start,240.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1800,distance_from_run_start,240.0,69
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,1900,distance_from_run_start,276.9,99
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2000,distance_from_run_start,276.9,75
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2100,distance_from_run_start,300.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2200,distance_from_run_start,300.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2300,distance_from_run_start,300.0,99
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,2400,distance_from_run_start,276.9,100
