asset_id,well_name,bha_number,equiv_bha_key,has_agitator,curve_type,formation_name,formation_segment,formation_bin_key,median_rop,foot_count
32278879,SSS-Burkholder M Unit D 4H,3,6B-16mm | 5/6-mid,True,slide,Buda,30,Buda|30,20.7,4
32278879,SSS-Burkholder M Unit D 4H,3,6B-16mm | 5/6-mid,True,slide,Buda,40,Buda|40,53.7,100
32278879,SSS-Burkholder M Unit D 4H,3,6B-16mm | 5/6-mid,True,slide,Buda,50,Buda|50,112.5,85
32278879,SSS-Burkholder M Unit D 4H,3,6B-16mm | 5/6-mid,True,slide,Buda,60,Buda|60,124.1,62
32278879,SSS-Burkholder M Unit D 4H,3,6B-16mm | 5/6-mid,True,slide,Buda,70,Buda|70,124.1,62
32278879,SSS-Burkholder M Unit D 4H,3,6B-16mm | 5/6-mid,True,slide,Buda,80,Buda|80,144.0,86
32278879,SSS-Burkholder M Unit D 4H,3,6B-16mm | 5/6-mid,True,slide,Buda,90,Buda|90,100.0,864
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,0,Escondido|0,105.0,126
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,10,Escondido|10,360.0,56
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,20,Escondido|20,360.0,21
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,30,Escondido|30,360.0,44
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,40,Escondido|40,360.0,14
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,50,Escondido|50,360.0,27
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,60,Escondido|60,360.0,18
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,70,Escondido|70,360.0,16
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,80,Escondido|80,360.0,16
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Escondido,90,Escondido|90,360.0,25
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,0,Hazard|0,360.0,55
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,10,Hazard|10,360.0,103
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,20,Hazard|20,360.0,53
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,30,Hazard|30,360.0,93
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,40,Hazard|40,360.0,39
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,50,Hazard|50,360.0,73
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,60,Hazard|60,360.0,53
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,70,Hazard|70,360.0,61
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,80,Hazard|80,360.0,80
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,rotary,Hazard,90,Hazard|90,360.0,172
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,0,Escondido|0,180.0,28
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,10,Escondido|10,180.0,45
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,20,Escondido|20,180.0,57
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,30,Escondido|30,120.0,57
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,40,Escondido|40,180.0,38
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,50,Escondido|50,180.0,35
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,60,Escondido|60,180.0,49
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,70,Escondido|70,180.0,47
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,80,Escondido|80,270.0,52
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Escondido,90,Escondido|90,180.0,81
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Hazard,0,Hazard|0,120.0,51
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Hazard,10,Hazard|10,120.0,23
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Hazard,20,Hazard|20,150.0,4
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Hazard,30,Hazard|30,180.0,32
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Hazard,50,Hazard|50,180.0,30
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Hazard,70,Hazard|70,120.0,27
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Hazard,80,Hazard|80,120.0,59
32729228,Springer A 8H,2,6B-16mm | 7/8-lo,False,slide,Hazard,90,Hazard|90,32.7,26
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Hazard,90,Hazard|90,360.0,3
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,0,Buda|0,180.0,68
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,10,Buda|10,360.0,54
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,20,Buda|20,360.0,92
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,30,Buda|30,360.0,61
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,40,Buda|40,360.0,57
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,50,Buda|50,180.0,5
32729228,Springer A 8H,4,6B-13mm | 7/8-lo,False,rotary,Buda,60,Buda|60,72.0,1
